Portfolio,Mean_Ann,Std_Win,Sharpe_Ann,InfoRatio_Ann_vs_NIFTY
GMV,0.22640217617031028,0.0699147360128449,1.562609739790978,0.5962129680898379
MV,0.23575123024373928,0.08049200560322482,1.4233209511636797,0.6638895939221471
EW,0.2155107310078782,0.09663757360430994,1.1299165866343575,1.8929437065552
Active,0.2077371367775023,0.25443562050654445,0.6119840324283031,0.4184291351574209
NIFTY50,0.1118293369342066,0.08419029941958256,0.7227509505401183,
